PD (T/F),Rate (Hz),PD (T/F),Rate (Hz)
0,3.1,0,3.39736842105263
0,3.4,1,4.18619047619048
0,3.25,0,8.9047619047619
0,3.6,1,9
0,3.4,,
0,3.2,,
0,3.7,,
0,3.65,,
0,3.25,,
0,3.45,,
0,3.35,,
0,3.4,,
0,3.3,,
0,3.3,,
0,3.3,,
0,3.2,,
0,3.5,,
0,3.35,,
0,3.85,,
1,3.95,,
1,4.15,,
1,4.05,,
1,4.45,,
1,4.3,,
1,4.5,,
1,4.45,,
1,4.25,,
1,4.25,,
1,4.05,,
1,4.55,,
1,4.45,,
1,4.61,,
1,4.1,,
1,4.25,,
1,4.1,,
1,4.25,,
1,3.25,,
1,4.7,,
1,3.3,,
1,3.95,,
0,8.95,,
0,8.75,,
0,8.75,,
0,8.85,,
0,9.2,,
0,9.15,,
0,8.75,,
0,9.05,,
0,9.2,,
0,9,,
0,8.95,,
0,9.1,,
0,8.7,,
0,9.1,,
0,8.9,,
0,8.75,,
0,8.9,,
0,8.8,,
0,8.7,,
0,8.7,,
0,8.75,,
1,9,,
1,8.65,,
1,8.75,,
1,8.55,,
1,8.9,,
1,9.15,,
1,8.55,,
1,8.85,,
1,8.95,,
1,9.2,,
1,8.9,,
1,8.7,,
1,9.55,,
1,9.1,,
1,9.1,,
1,9.55,,
1,9.2,,
1,9.15,,
1,8.85,,
1,9.25,,
1,9.1,,
